시도,시군,업종,업소명,연락처,주소,메뉴1,가격1,메뉴2,가격2,메뉴3,가격3,메뉴4,가격4
서울특별시,종로구,한식_면류,청정바지락칼국수,02-743-6557,서울특별시종로구창신길11,칼국수,7000,보리비빔밥,6000,,,,
서울특별시,종로구,기타비요식업,재희플라워,02-739-9386,서울특별시종로구새문안로3길12지층1호,꽃다발(중),25000~45000,꽃다발(대),50000~70000,장미꽃한송이,5000~9000,,
서울특별시,종로구,기타요식업,세종커피,,서울특별시종로구세종대로23길54지층26호,아메리카노,2500,카페라떼,3500,에이드/스무디,4500,,
서울특별시,종로구,한식_육류,효자왕족발,02-735-7601,서울특별시종로구자하문로31-2,보쌈정식(점심),9000,쟁반막국수,9000,,,,
서울특별시,종로구,기타요식업,토리베이커리,,서울특별시종로구옥인길30-3,막걸리식빵,4000,화이트롤케이크,12000,,,,
서울특별시,종로구,한식_일반,서울풍경,02-735-7799,서울특별시종로구북촌로5길39,정식(제육뚝불고등어조림된장찌개),16000,왕돈가스,11000,,,,
서울특별시,종로구,중식,대륙,02-766-8411,서울특별시종로구종로125,짜장면,7000,짬뽕,8000,,,,
서울특별시,종로구,한식_일반,서울식당,02-764-7587,서울특별시종로구창신길50,백반,8000,,,,,,
서울특별시,종로구,한식_일반,진미김밥,02-2268-0069,서울특별시종로구종로46길28,진미김밥,4000,냉면,8000,,,,
서울특별시,종로구,한식_일반,옛촌,02-745-1235,서울특별시종로구종로44길94,돼지갈비김치찜,13000,동태탕,11000,제육볶음,10000,,
서울특별시,종로구,기타요식업,스윗샐러드,02-733-3225,서울특별시종로구종로1길50지하1층,버섯샐러드,7900,닭가슴살샐러드,8900,,,,
서울특별시,종로구,한식_육류,종가대박집,02-744-4888,서울특별시종로구종로307,암퇘지삼겹살(170g),14000,대박삼겹살(110g),5500,,,,
서울특별시,종로구,한식_일반,꽃백숙,,서울특별시종로구창신길18,능이삼계탕,15000,능이반계탕,9000,,,,
서울특별시,종로구,기타비요식업,정사진,02-745-0828,서울특별시종로구창덕궁1길412층,증명사진,25000,가족사진(3명),120000,,,,
서울특별시,종로구,한식_일반,금하낙지마당,02-765-4412,서울특별시종로구종로35길40,낙지볶음,11000,낙지철판볶음(중),45000,,,,
서울특별시,종로구,한식_육류,백제고기집,02-764-7718,서울특별시종로구종로35길31,육회(500g),39000,차돌박이(500g),47000,,,,
서울특별시,종로구,한식_일반,복코돼지,02-2271-5989,서울특별시종로구종로232,김치찌개(점심),7000,황태해장국(점심),7000,제육볶음(점심),7000,,
서울특별시,종로구,한식_면류,국수전문점,02-2275-7443,서울특별시종로구종로246,잔치국수,5000,비빔국수,6000,,,,
서울특별시,종로구,중식,남도식당,02-2234-5544,서울특별시종로구종로374-1,짜장면,3500,우동,3500,탕수육,4000,,
서울특별시,종로구,한식_일반,장원식당,02-6777-1437,서울특별시종로구창신5나길3,우거지뼈해장국,8000,잔치/비빔국수,6000,회냉면,8000,,
서울특별시,종로구,한식_육류,동대문한국통닭,02-747-2443,서울특별시종로구종로304,통닭1마리,4500,통닭2마리,8000,통닭3마리,11000,,
서울특별시,종로구,중식,중국,02-737-8055,서울특별시종로구자하문로33길2,짜장면,6000,짬뽕,8000,탕수육,22000,,
서울특별시,종로구,기타요식업,샐러드하우스,02-722-5891,서울특별시종로구새문안로5가길28지층119호,에그듬뿍샌드위치,4900,그린샐러드,6500,닭가슴살샐러드,6500,,
서울특별시,종로구,일식,카츠연,,서울특별시종로구삼봉로81지층136호,등심돈카츠정식,8500,카레카츠정식,9500,,,,
서울특별시,종로구,한식_일반,육미쭈꾸미,02-738-0122,서울특별시종로구종로9길18,쭈꾸미덮밥(점심),9000,해물순두부탕(점심),7000,고등어/굴비구이(점심),9000,,
서울특별시,종로구,한식_일반,불백당,02-722-0086,서울특별시종로구우정국로2길34,고추장불백,5500,갈비양념불백,5500,오삼불백,6500,,
서울특별시,종로구,한식_일반,수인인사동닭한마리,,서울특별시종로구인사동10길23-8,삼계탕,13000,,,,,,
서울특별시,종로구,숙박업,호텔컬리넌,02-744-8441,서울특별시종로구수표로26길6,스탠다드(월~목),50000,스탠다드(금),70000~80000,스탠다드(토),100000~110000,,
서울특별시,종로구,한식_일반,완판생국수,02-2272-0066,서울특별시종로구종로258,멸치국수,5500,콩국수,8000,,,,
서울특별시,종로구,한식_일반,청년밥상문간슬로우점,,서울특별시동숭3길33지하1층,김치찌개,3000,,,,,,
서울특별시,중구,한식_일반,영자씨우동김밥,02-2272-9791,서울특별시중구마른내로15-1(저동2가),김치찌개,7000,김밥(야채),3500,카레덮밥,8000,,
서울특별시,중구,한식_일반,코너집,02-2279-6266,서울특별시중구퇴계로3361층101호(광희동2가성진오피스텔),된장찌개,8000,돈가스,8000,순두부,8000,,
서울특별시,중구,한식_일반,광희식당,02-2265-1555,서울특별시중구장충단로212-2(광희동2가),된장찌개,7000,비빔밥,7000,갈비탕,9000,,
서울특별시,중구,한식_일반,우리집맛자랑,02-319-8939,서울특별시중구퇴계로20길26(남산동2가),된장찌개,7000,김치찌개,7000,청국장,8000,,
서울특별시,중구,한식_일반,돈우가식당,02-3789-1313,서울특별시중구남대문로25-171층(북창동),김치찌개,7000,삼겹살(200g),11000,한우소머리국밥,8000,,
서울특별시,중구,한식_일반,장수보리밥,02-2252-2808,서울특별시중구퇴계로85길12-4(황학동),보리밥,8000,고기쌈밥,12000,야채쌈밥,9000,,
서울특별시,중구,한식_일반,형제정육식당,02-2235-9902,서울특별시중구다산로40길561층(신당5동),된장찌개,7000,김치찌개,7000,제육볶음,7000,,
서울특별시,중구,한식_일반,흑돈연가,02-2234-7854,서울특별시중구퇴계로88길201층(신당5동),점심백반,7000,삼겹살(180g),15000,,,,
서울특별시,중구,미용업,채미미용실,02-2234-8339,서울특별시중구다산로101(신당동),커트,10000,펌,40000,,,,
서울특별시,중구,세탁업,일광사,02-2238-6492,서울특별시중구다산로33다길29(신당동),드라이크리닝(양복상하의),10000,하의수선,4000,롱패딩세탁,15000,,
서울특별시,중구,중식,유가,02-3789-9688,서울특별시중구퇴계로12길681층(회현동1가),자장면,7000,짬뽕,10000,,,,
서울특별시,중구,한식_일반,민정이네,02-312-1420,서울특별시중구만리재로37길21(만리동1가),점심백반,7000,,,,,,
서울특별시,중구,한식_일반,충정로김밥,02-313-1006,서울특별시중구서소문로6길341층108호(중림동성요셉아파트상가),충정로김밥,3000,참치김밥,4000,김치찌개,7000,,
서울특별시,중구,한식_일반,거목식당,02-2263-0010,서울특별시중구을지로36길18(을지로5가),청국장,7000,된장찌개,7000,순두부찌개,7000,,
서울특별시,중구,한식_일반,풍년식당,02-2272-0870,서울특별시중구퇴계로36가길47(필동2가),가정식백반,7000,,,,,,
서울특별시,중구,한식_일반,이조식당,02-365-5993,서울특별시중구청파로103길331층(중림동),콩나물비빔밥,7000,잔치국수,7000,,,,
서울특별시,중구,기타요식업,신빙고,02-2235-8819,서울특별시중구동호로12길931층(신당동),아메리카노,2300,복숭아아이스티,2300,플레인크로플,2800,,
서울특별시,중구,한식_일반,장안김밥,02-2236-8135,서울특별시중구다산로36길25,떡국,4000,떡볶이,3500,김밥,2000,,
서울특별시,중구,한식_일반,명동얼큰수제비,02-752-7649,서울특별시중구남대문로64,김치찌개,8000,된장찌개,8000,소고기김밥,4500,,
서울특별시,중구,한식_면류,345국수,02-2237-5257,서울특별시중구청구로83-91층,손수제비,8000,잔치국수,7000,칼국수,7000,,
서울특별시,중구,한식_면류,옛날홍두깨손칼국수,02-2231-1458,서울특별시중구동호로7길32,손수제비,6000,잔치국수,4000,야채비빔밥,5000,,
서울특별시,중구,한식_육류,왕비집명동본점,02-3789-1945,서울특별시중구명동8가길262층,한우등심구이(140g),45000,한우육회(150g),29000,,,,
서울특별시,중구,한식_육류,명동중앙점왕비집,02-776-2361,서울특별시중구명동8나길452층,한우등심구이(140g),45000,한우육회(150g),29000,,,,
서울특별시,중구,한식_육류,왕비집명동2호점,02-3789-1946,서울특별시중구명동9길132층,한우등심구이(140g),45000,한우육회(150g),29000,,,,
서울특별시,중구,한식_육류,왕비집육호점,02-3789-1544,서울특별시중구남대문로642층203호,한우등심구이(140g),45000,한우육회(150g),29000,,,,
서울특별시,중구,한식_육류,왕비집시청무교점,02-755-9229,서울특별시중구무교로192층,한우등심구이(140g),46000,한우육회(150g),29000,,,,
서울특별시,중구,미용업,고은미용실,02-2268-9849,서울특별시중구충무로14-1(충무로3가)1층,커트,12000,파마,40000,,,,
서울특별시,중구,한식_일반,그냥밥집,02-778-7973,서울특별시중구퇴계로12길53(회현동1가)1층,불고기백반,10000,된장찌개,10000,김치찌개,10000,,
서울특별시,중구,한식_일반,대박물갈비,02-755-6974,서울특별시중구퇴계로4길7(남창동)1층,제육볶음,9000,돼지불고기,9000,순대국,10000,,
서울특별시,중구,기타비요식업,로이필라테스,02-2231-8484,서울특별시중구퇴계로461(황학동)1501호,필라테스개인레슨10회,660000,,,,,,
서울특별시,중구,한식_일반,명희네밥상,02-318-0171,서울특별시중구퇴계로8길49(회현동1가)1층,김치찌개,9000,된장찌개,9000,순두부찌개,9000,,
서울특별시,중구,한식_일반,산과들그리고바다,02-2277-7887,서울특별시중구을지로14길22(을지로3가)1층,모듬돌솥비빔밥,10000,,,,,,
서울특별시,중구,한식_일반,이모분식,02-2279-3897,서울특별시중구충무로43-2(초동)1층,김밥,4000,라면,4500,제육덮밥,8500,,
서울특별시,중구,기타요식업,콩다방,02-2274-1678,서울특별시중구마른내로50(인현동1가)1층,아메리카노,1800,카페라떼,2900,,,,
서울특별시,중구,중식,공화춘,02-723-4038,서울특별시중구청파로457-12층,짜장면,6000,짬뽕,7000,,,,
서울특별시,중구,기타외식업,바재커피,02-776-5577,서울특별시중구남대문시장8길25,아메리카노(힛),2000,아메리카노(아이스),2500,카페라떼(핫),3000,,
서울특별시,중구,한식_일반,뉴욕스넥,02-2274-1110,서울특별시중구을지로지하131을지로3구역지하56호,야채김밥,3500,칼국수,7000,,,,
서울특별시,중구,한식_면류,이원,02-2273-5568,서울특별시중구동호로37길33-16,칼국수,7000,만두,6000,,,,
서울특별시,용산구,한식_육류,화로가,02-798-8480,서울특별시용산구한강대로39길5,돌솥비빔밥,10000,생선구이정식,10000,,,,
서울특별시,용산구,양식,감베로니,02-3273-1791,서울특별시용산구한강대로81길5,돈까스(1인분),9000,파스타,8000,,,,
서울특별시,용산구,한식_일반,풍년숯불갈비,02-719-6530,서울특별시용산구새창로130,돌솥비밤밥,9000,뚝배기불고기,9000,된장찌개,8000,,
서울특별시,용산구,한식_일반,흑돈연가,02-797-8060,서울특별시용산구한강대로76길11-2,돼지스떼끼,18000,생등심한우(180g),38000,,,,
서울특별시,용산구,한식_일반,청운숯불갈비,02-711-2625,서울특별시용산구청파로383-8,갈비탕,14000,,,,,,
서울특별시,용산구,한식_육류,남영골,02-704-4745,서울특별시용산구한강대로77길8,점심뷔페,8000,삼겸살(200g),16000,,,,
서울특별시,용산구,중식,한일각,02-796-2557,서울특별시용산구보광로21-12층,자장면,4000,짬뽕,5000,,,,
서울특별시,용산구,한식_일반,일공오삼겹살,02-3273-0105,서울특별시용산구백범로87길52,된장찌개,7000,김치찌개,7000,순두부찌개,7000,,
서울특별시,용산구,한식_면류,면마루,02-797-3449,서울특별시용산구신흥로862층,물냉면,8000,칼국수,8000,제육볶음,8000,,
서울특별시,용산구,한식_면류,용산풍천숯불민물장어,02-749-5905,서울특별시용산구한강대로39길10,손칼국수,5500,손칼국수만두,6000,,,,
서울특별시,용산구,일식,원돈까스우동,02-797-9718,서울특별시용산구서빙고로65길10,원우동,7000,야채비빔밥,8000,돈까스+(우동/도시락),9000,,
서울특별시,용산구,한식_일반,용산픙천장어마을,02-711-1139,서울특별시용산구백범로318,추어장어탕,11000,,,,,,
서울특별시,용산구,한식_일반,영광정육식당,02-798-2423,서울특별시용산구서빙고로91나길104,곰탕,9000,청국장,8000,,,,
서울특별시,용산구,기타요식업,커피스모키,,서울특별시용산구한강대로30길25지하1층26호,아메리카노,2900,콜드브루,3400,헤이즐넛아메리카노,3200,,
서울특별시,용산구,한식_일반,용대박,02-718-8853,서울특별시용산구원효로83길13-5101102호,순대국,8000,비빔국수,5000,김치찌개,8000,,
서울특별시,용산구,한식_일반,진미식당,02-703-6842,서울특별시용산구백범로90길461층,오징어볶음,10000,,,,,,
서울특별시,용산구,한식_일반,부자식당,02-797-9046,서울특별시용산구대사관로24길13,고등어쌈밥정식,11000,불고기쌈밥정식,11000,,,,
서울특별시,용산구,한식_일반,장원,02-711-8948,서울특별시용산구원효로19길34,오늘의메뉴(백반찌개류),8000,오늘의메뉴(불고기류),9000,,,,
서울특별시,용산구,한식_육류,호정식당,02-794-3295,서울특별시용산구보광로17,삼겹살(200g),13000,오겹살(200g),13000,,,,
서울특별시,용산구,한식_면류,지혜식당,02-706-5255,서울특별시용산구이촌로18길21-15,가정식백반,9000,,,,,,
서울특별시,용산구,한식_기타,친구의천(후랜드천),02-790-9415,서울특별시용산구장문로88,즉석떡볶이,5000,,,,,,
서울특별시,용산구,한식_일반,경리단578,02-798-6577,서울특별시용산구녹사평대로226,부대찌개,10000,짜글이,10000,,,,
서울특별시,용산구,한식_일반,윤경남7통황태국,02-790-3790,서울특별시용산구녹사평대로26가길9지층,황태국,10000,,,,,,
서울특별시,용산구,한식_일반,원조보리밥수제비,02-798-4762,서울특별시용산구이태원로14길24,감자수제비,9000,김치수제비,9000,,,,
서울특별시,용산구,한식_분식,소문난국수집,02-790-8494,서울특별시용산구보광로411층,칼국수,8000,우동,6000,열무냉면,7000,쫄면,7000
서울특별시,용산구,한식_분식,5빠떡볶이,02-3789-1489,서울특별시용산구후암로37-11층,떡볶이,4000,어묵,2500,,,,
서울특별시,용산구,한식_일반,대포항,02-3211-3272,서울특별시용산구새창로116-71층,삼치구이,10000,초밥,10000,,,,
서울특별시,용산구,한식_일반,가마골,02-794-6489,서울특별시용산구이촌로75길16-5107호,오늘의정식,8000,,,,,,
서울특별시,용산구,미용업,형한나미용실,02-704-3955,서울특별시용산구청파로47길17-51층,커트(여성),10000,커트(남성),8000,드라이,10000,,
서울특별시,용산구,기타비요식업,목욕하는고양이,02-796-4648,서울특별시용산구장문로711층,강아지미용,44000,,,,,,
서울특별시,용산구,기타요식업,ybrew(와이브루),,서울특별시용산구서빙고로17센트럴파크몰a동1층76호,아메리카노,1800,카페라떼,2500,,,,
서울특별시,용산구,일식,준참치,02-773-3838,서울특별시용산구두텁바위로79-1(후암동)1층준참치,회덮밥,9000,,,,,,
서울특별시,용산구,한식_일반,강남화로숯불갈비,02-713-9708,서울특별시용산구청파로47길56(청파동2가)1층,백반,8000,,,,,,
서울특별시,용산구,한식_일반,김정문숯불갈비,02-792-6088,서울특별시용산구장문로98(보광동)1층,된장찌게,8000,김치찌게,8000,,,,
서울특별시,용산구,한식_일반,대도식당,02-704-2033,서울특별시용산구청파로93길9(서계동)1층,된장찌게,8000,김치찌게,9000,,,,
서울특별시,용산구,한식_일반,장군이네,02-712-7708,서울특별시용산구청파로325(청파동1가)1층,버섯불고시,10000,,,,,,
서울특별시,용산구,한식_일반,돼지집,02-794-0433,서울특별시용산구이태원로20길17(이태원동)1층,냉동삼겹살,14000,,,,,,
서울특별시,용산구,한식_분식,나는국수다,02-6402-6545,서울특별시용산구장문로78(보광동)1층,떡만두국,7000,김치찌게,7000,,,,
서울특별시,용산구,양식,효창돈까스,02-716-1988,서울특별시용산구효창원로147(효창동)1층,돈까스,11000,,,,,,
서울특별시,용산구,한식_일반,공주식당,02-716-6433,서울특별시용산구한강대로363(동자동)1층,조식백반,7000,냉동삼겹살,10000,,,,
서울특별시,용산구,기타요식업,미스터아메리카노,070-7868-5557,서울특별시용산구백범로99길46(한강로1가)1층,아메리카노(Takeout),2500,,,,,,
서울특별시,용산구,중식,부자반점,02-718-7889,서울특별시용산구한강대로275-1(갈월동)1층,짜장면,6500,볶음밥,7500,,,,
서울특별시,용산구,한식_분식,쿠쿠스,02-798-9233,서울특별시용산구한강대로15길19-2(한강로3가)1층,제육덮밥,7500,김밥,3000,,,,
서울특별시,용산구,중식,홍콩중화요리,,서울특별시용산구한강대로367-1(동자동)1층,짜장면,6500,짬뽕,7500,,,,
서울특별시,용산구,한식_일반,콩양황군,02-6369-4023,서울특별시용산구청파로93길7(서계동),황태콩나물해장국,9000,돌솥비빔밥,9000,,,,
서울특별시,용산구,기타요식업,인디에어,,서울특별시용산구백범로325,아메리카노(Takeout),3000,,,,,,
서울특별시,용산구,한식_일반,이태원그리들,,서울특별시용산구회나무로30-1,냉동삼겹살(150g),10000,,,,,,
서울특별시,용산구,일식,좋은날,02-701-0322,서울특별시용산구원효로19길3(원효로4가),초밥,12000,회덮밥,10000,알밥,10000,,
서울특별시,용산구,한식_일반,서리김밥,02-707-0936,서울특별시용산구원효로220(원효로1가),서리김밥,3000,참치김밥,4500,치츠김밥,4500,,
서울특별시,용산구,한식_일반,정가네왕김밥,,서울특별시용산구효창원로91(용문동),정가네왕김밥,3000,참치김밥,4500,치츠김밥,4500,,
서울특별시,용산구,한식_일반,맛드림,,서울특별시용산구한강대로84길11-29(남영동),생대구탕,16000,,,,,,
서울특별시,용산구,한식_일반,맛사랑,02-796-8778,서울특별시용산구한강대로42길5(한강로2가),쭈꾸미비빔밥,10000,철판쭈꾸미볶음,14000,,,,
서울특별시,용산구,기타요식업,호타코,02-2648-4339,서울특별시용산구이촌로22길19-9(이촌동),타코,10000,커플세트,25000,,,,
서울특별시,용산구,한식_일반,남산집,,서울특별시용산구한강대로7길10-11(한강로동),급랭삼겹살,14000,차돌박이,23000,,,,
서울특별시,용산구,기타요식업,와이브루,,서울특별시용산구새창로45길121층(신계동),아메리카노,2000,라떼,2500,,,,
서울특별시,용산구,한식_일반,찌갠,,서울특별시용산구원효로41길601층(원효로2가),쭈꾸미(철판),14000,매운갈비찜,12000,,,,
서울특별시,용산구,미용업,은혜미용실,,서울특별시용산구효창원로42길151층(용문동),커트,10000,드라이,10000,,,,
서울특별시,용산구,미용업,라인미용실,,서울특별시용산구원효로42길38-36(용문동),커트,15000,드라이,15000,,,,
서울특별시,용산구,한식_일반,원효돈가스,,서울특별시용산구백범로323-11층(원효로1가),돈가스,8000,함박,9000,,,,
서울특별시,용산구,한식_일반,용산국제회관,,서울특별시용산구청파로20길49(한강로2가),모듬스테이크(100g),18000,부대찌게,10000,,,,
서울특별시,용산구,중식,기사식당,,서울특별시용산구백범로283(효창동),짜장,5000,우동,5000,,,,
서울특별시,용산구,한식_일반,보광정이태원점,,서울특별시용산구보광로1181층(이태원동),찌게,8000,칼국수,8000,갓김차말이국수,8000,,
서울특별시,용산구,이용업,참존이발,,서울특별시용산구보광291층(보광동),커트,13000,,,,,,
서울특별시,용산구,한식_일반,가장맛있는족발족과의동침,,서울특별시용산구한강대로153(한강로2가),족발(대),37000,족발(중),34000,,,,
서울특별시,용산구,미용업,로즈헤어,,서울특별시용산구청파로205-26301동107호,컷트(여),17000,컷트(남),15000,,,,
서울특별시,용산구,한식_일반,만나칼국수,,서울특별시용산구청파로49길18지1층01호(청파동2가덕수빌라),칼국수,8000,,,,,,
서울특별시,용산구,기타요식업,시온,02-792-4688,서울특별시용산구한강대로7길131층,아메리카노,3300,까페라떼,4000,,,,
서울특별시,용산구,기타요식업,테폼,02-793-6926,서울특별시용산구녹사평대로26길21(이태원동미광빌딩1층),아메리카노(핫),3000,까페라떼(핫),4000,,,,
서울특별시,용산구,한식_일반,해바라기정육식당,02-701-3012,서울특별시용산구청파로2891층,된장찌개,8000,김치찌개,8000,,,,
서울특별시,용산구,한식_일반,갑을,,서울특별시용산구이촌로77길19,떡만두국,10000,,,,,,
서울특별시,용산구,한식_일반,손맛집,02-702-7677,서울특별시용산구원효로89길13-31층(원효로1가),돈장찌개,8000,김치찌개,8000,,,,
서울특별시,용산구,한식_일반,통큰칼국수,02-712-9874,서울특별시용산구장문로112,손칼국수,9000,,,,,,
서울특별시,용산구,기타비요식업,수네일,,서울특별시용산구만리재로196B01호(서계동),손젤,40000,발젤,50000,,,,
서울특별시,성동구,중식,동해루,02-2292-5342,서울특별시성동구고산자로8길26,자장면,5000,짬뽕,6000,,,,
서울특별시,성동구,미용업,아씨머리방,02-2291-2874,서울특별시성동구고산자로8길23-1,미용료(커트),5000,미용료(파마),20000,,,,
서울특별시,성동구,미용업,채미용실,02-2247-0471,서울특별시성동구용답중앙13길14,미용료(커트),10000,미용료(파마),25000,,,,
서울특별시,성동구,미용업,은헤어,02-2234-7262,서울특별시성동구금호산길57,미용료(커트),15000,미용료(파마),40000,,,,
서울특별시,성동구,세탁업,백광컴퓨터크리닝,02-2292-8310,서울특별시성동구마조로59,세탁료(정장한벌),6000,와이셔츠,2000,,,,
서울특별시,성동구,세탁업,벽산세탁,02-2298-6675,서울특별시성동구금호로100벽산(아)상가6층,세탁료,8000,와이셔츠,3000,,,,
서울특별시,성동구,한식_일반,송하정,02-2291-3346,서울특별시성동구무학봉15길6,백반,9000,,,,,,
서울특별시,성동구,한식_면류,고향냉면,02-2234-8043,서울특별시성동구독서당로301-93,냉면,8000,보리비빔밥,7000,,,,
서울특별시,성동구,미용업,주노헤어숍,02-2298-3546,서울특별시성동구왕십리로24길13-1,미용료(커트),8000,미용료(파마),25000,,,,
서울특별시,성동구,한식_일반,전주식당,02-2295-0517,서울특별시성동구무학봉15가길1,백반,8000,자반구이,12000,간장게장,10000,,
서울특별시,성동구,미용업,현미프로헤어,02-2281-3040,서울특별시성동구무학봉15길17-1,미용료(커트),10000,미용료(파마),30000,미용료(커트)경로학생할인,8000,,
서울특별시,성동구,한식_일반,아랫목식당,02-498-3217,서울특별시성동구송정14길14-1(송정동),감자탕(소),25000,닭볶음탕(소),25000,,,,
서울특별시,성동구,미용업,수주머리나라,02-466-3882,서울특별시성동구광나루로11길9-1(송정동),미용료(커트),10000,미용료(파마),30000,,,,
서울특별시,성동구,미용업,덤앤더머,02-2292-9700,서울특별시성동구사근동길25-1(사근동),미용료(커트),9000,미용료(파마),15000,,,,
서울특별시,성동구,한식_일반,고바우생삼겹,02-498-8442,서울특별시성동구동일로2211층,백반,8000,,,,,,
서울특별시,성동구,기타요식업,베네토,02-3395-8858,서울특별시성동구마조로3길7-11층,페퍼로니피자,12900,알리오올리오스파게티,8900,,,,
서울특별시,성동구,한식_일반,명가,02-2292-9294,서울특별시성동구무학봉16길1,소불고기,10000,,,,,,
서울특별시,성동구,한식_일반,수제비먹는닭갈비,02-2292-8557,서울특별시성동구왕십리로21다길391층,칼국수,7500,비빔밥,7000,,,,
서울특별시,성동구,한식_일반,전과함께,02-2294-6222,서울특별시성동구무학봉15길28-1,백반,8000,,,,,,
서울특별시,성동구,한식_육류,서울맛집,02-498-7775,서울특별시성동구아차산로7길291층,삼겹살,16000,김치찌개,8000,,,,
서울특별시,성동구,한식_육류,성수식당,02-464-2168,서울특별시성동구성수일로12길19-1,삼겹살,15000,백반,7000,,,,
서울특별시,성동구,한식_면류,란칼국수,0507-1349-6931,서울특별시성동구성수일로8길421층104호,칼국수,8000,열무비빔밥,8000,,,,
서울특별시,성동구,중식,착한짜장,02-461-2394,서울특별시성동구아차산로7길17-11층,자장면,5500,짬뽕,7000,,,,
서울특별시,성동구,미용업,궁전미용실,,서울특별시성동구성덕정길1141층,미용료(커트),15000,미용료(파마),30000,,,,
서울특별시,성동구,미용업,하나미용실,02-497-5678,서울특별시성동구상원10길9,미용료(커트),15000,미용료(파마),40000,,,,
서울특별시,성동구,일식,엘닷,02-469-4003,서울특별시성동구성수일로12길201층103호,모듬초밥,6900,,,,,,
서울특별시,성동구,기타요식업,그레이덕,,서울특별시성동구동일로41(성수동2가)1층,아메리카노,2000,,,,,,
서울특별시,성동구,한식_일반,맹꽁이,02-2214-9996,서울특별시성동구용답중앙25길1(용답동)1층,칼국수,6000,냉면,7000,,,,
서울특별시,성동구,한식_일반,할루우치킨,02-2244-6020,서울특별시성동구용답19길10-2(용답동)1층,치킨,16000,,,,,,
서울특별시,성동구,기타요식업,코너스톤,02-2249-9445,서울특별시성동구용답길169-1(용답동)1층,아메리카노,3000,,,,,,
서울특별시,성동구,한식_분식,별난만두,02-2246-2751,서울특별시성동구용답중앙길52(용답동)1층,손칼국수,7000,냉면,7000,,,,
서울특별시,성동구,기타요식업,소목,,서울특별시성동구용답중앙11길2(용답동)1층,아메리카노,2500,,,,,,
서울특별시,성동구,한식_일반,한우공감,0507-1329-2861,서울특별시성동구용답중앙길57-1(용답동)1층,김치찌개,8000,,,,,,
서울특별시,성동구,한식_일반,마장골,02-2293-9077,서울특별시성동구마장로42길2(마장동)1층,순대국,9000,굴국밥,9000,,,,
